ROW_INDEX, NV_APL_DATE, NV_DAY_NUM, NV_PEOPLE_NUM, NV_PLACE_NM
項目,申請入山日期,天數,人數,前往山域
1,106年01月01日,1,2,合歡西峰(南投縣仁愛鄉)
2,106年01月01日,1,2,雪見(苗栗縣泰安鄉)
3,106年01月01日,1,2,雪見(苗栗縣泰安鄉)
4,106年01月01日,1,1,鳶嘴山(臺中市和平區)
5,106年01月01日,1,2,鳶嘴山(臺中市和平區)
6,106年01月01日,1,3,玉山前峰(嘉義縣阿里山鄉)
7,106年01月01日,1,2,雪見(苗栗縣泰安鄉)
8,106年01月01日,1,4,北插天山(桃園市復興區)
9,106年01月01日,1,2,塔蔓山(桃園市復興區)
10,106年01月01日,2,2,天池(南投縣仁愛鄉)
11,106年01月01日,1,1,鳶嘴山(臺中市和平區)
12,106年01月01日,1,3,北插天山(桃園市復興區)
13,106年01月01日,1,2,稍來山(臺中市和平區)
14,106年01月01日,2,9,松蘿湖(宜蘭縣大同鄉)
15,106年01月01日,1,2,稍來山(臺中市和平區)
16,106年01月01日,1,2,鳶嘴山(臺中市和平區)
17,106年01月01日,1,1,松蘿湖(宜蘭縣大同鄉)
18,106年01月01日,1,8,日湯真山(屏東縣泰武鄉)
19,106年01月01日,1,3,鳶嘴山(臺中市和平區)
20,106年01月01日,1,4,日湯真山(屏東縣泰武鄉)
21,106年01月01日,1,2,鳶嘴山(臺中市和平區)
22,106年01月01日,1,3,鳶嘴山(臺中市和平區)
23,106年01月01日,1,2,鳶嘴山(臺中市和平區)
24,106年01月01日,1,2,鳶嘴山(臺中市和平區)
25,106年01月01日,1,5,鳶嘴山(臺中市和平區)/稍來山(臺中市和平區)
26,106年01月01日,1,34,養老(新竹縣尖石鄉)
27,106年01月01日,2,2,梅園村(苗栗縣泰安鄉)
28,106年01月01日,1,3,鳶嘴山(臺中市和平區)
29,106年01月01日,1,16,司馬庫斯古道(新竹縣尖石鄉)
30,106年01月01日,1,36,雪見(苗栗縣泰安鄉)
31,106年01月01日,1,4,稍來山(臺中市和平區)
32,106年01月01日,1,4,鳶嘴山(臺中市和平區)
33,106年01月01日,1,6,雪見(苗栗縣泰安鄉)
34,106年01月01日,1,10,鳶嘴山(臺中市和平區)
35,106年01月01日,1,6,橫嶺山(臺中市和平區)
36,106年01月01日,1,4,雪見(苗栗縣泰安鄉)
37,106年01月01日,1,8,鳶嘴山(臺中市和平區)
38,106年01月01日,1,5,稍來山(臺中市和平區)
39,106年01月01日,1,13,鳶嘴山(臺中市和平區)
40,106年01月01日,1,5,栗松溫泉(臺東縣海端鄉)
41,106年01月01日,1,2,稍來山(臺中市和平區)
42,106年01月01日,1,2,鳶嘴山(臺中市和平區)
43,106年01月01日,1,3,稍來山(臺中市和平區)
44,106年01月01日,1,5,稍來山(臺中市和平區)
